Date,Knicker,Name,Price
2008-06-27,099320,쎄트렉아이,12647
2008-07-25,099320,쎄트렉아이,14688
2008-08-29,099320,쎄트렉아이,10078
2008-09-26,099320,쎄트렉아이,10581
2008-10-31,099320,쎄트렉아이,5795
2008-11-28,099320,쎄트렉아이,7407
2008-12-26,099320,쎄트렉아이,7558
2009-01-30,099320,쎄트렉아이,8465
2009-02-27,099320,쎄트렉아이,10178
2009-03-27,099320,쎄트렉아이,19777
2009-04-24,099320,쎄트렉아이,25446
2009-05-29,099320,쎄트렉아이,24312
2009-06-26,099320,쎄트렉아이,21616
2009-07-31,099320,쎄트렉아이,17862
2009-08-28,099320,쎄트렉아이,14134
2009-09-25,099320,쎄트렉아이,12849
2009-10-30,099320,쎄트렉아이,9800
2009-11-27,099320,쎄트렉아이,11614
2009-12-24,099320,쎄트렉아이,14411
2010-01-29,099320,쎄트렉아이,15973
2010-02-26,099320,쎄트렉아이,15620
2010-03-26,099320,쎄트렉아이,18366
2010-04-30,099320,쎄트렉아이,17081
2010-05-28,099320,쎄트렉아이,15872
2010-06-25,099320,쎄트렉아이,12748
2010-07-30,099320,쎄트렉아이,10506
2010-08-27,099320,쎄트렉아이,10355
2010-09-24,099320,쎄트렉아이,11085
2010-10-29,099320,쎄트렉아이,13000
2010-11-26,099320,쎄트렉아이,10984
2010-12-30,099320,쎄트렉아이,10909
2011-01-28,099320,쎄트렉아이,10506
2011-02-25,099320,쎄트렉아이,9574
2011-03-25,099320,쎄트렉아이,9548
2011-04-29,099320,쎄트렉아이,9649
2011-05-27,099320,쎄트렉아이,8742
2011-06-24,099320,쎄트렉아이,8717
2011-07-29,099320,쎄트렉아이,8767
2011-08-26,099320,쎄트렉아이,7810
2011-09-30,099320,쎄트렉아이,8566
2011-10-28,099320,쎄트렉아이,8692
2011-11-25,099320,쎄트렉아이,7835
2011-12-29,099320,쎄트렉아이,10329
2012-01-27,099320,쎄트렉아이,11942
2012-02-24,099320,쎄트렉아이,12647
2012-03-30,099320,쎄트렉아이,11312
2012-04-27,099320,쎄트렉아이,11690
2012-05-25,099320,쎄트렉아이,10632
2012-06-29,099320,쎄트렉아이,11262
2012-07-27,099320,쎄트렉아이,11463
2012-08-31,099320,쎄트렉아이,15343
2012-09-28,099320,쎄트렉아이,14587
2012-10-26,099320,쎄트렉아이,10682
2012-11-30,099320,쎄트렉아이,9775
2012-12-28,099320,쎄트렉아이,10153
2013-01-25,099320,쎄트렉아이,10733
2013-02-22,099320,쎄트렉아이,9221
2013-03-29,099320,쎄트렉아이,9422
2013-04-26,099320,쎄트렉아이,10984
2013-05-31,099320,쎄트렉아이,10909
2013-06-28,099320,쎄트렉아이,9876
2013-07-26,099320,쎄트렉아이,10657
2013-08-30,099320,쎄트렉아이,9347
2013-09-27,099320,쎄트렉아이,9800
2013-10-25,099320,쎄트렉아이,9498
2013-11-29,099320,쎄트렉아이,8566
2013-12-27,099320,쎄트렉아이,8591
2014-01-29,099320,쎄트렉아이,8767
2014-02-28,099320,쎄트렉아이,8541
2014-03-28,099320,쎄트렉아이,10455
2014-04-25,099320,쎄트렉아이,9876
2014-05-30,099320,쎄트렉아이,9674
