Date
01/25/1985
02/22/1985
03/29/1985
04/26/1985
05/31/1985
06/28/1985
07/26/1985
08/30/1985
09/27/1985
10/25/1985
11/29/1985
12/27/1985
01/31/1986
02/28/1986
03/28/1986
04/25/1986
05/30/1986
06/27/1986
07/25/1986
08/29/1986
09/26/1986
10/31/1986
11/28/1986
12/26/1986
01/30/1987
02/27/1987
03/27/1987
04/24/1987
05/29/1987
06/26/1987
07/31/1987
08/28/1987
09/25/1987
10/30/1987
11/27/1987
12/25/1987
01/29/1988
02/26/1988
03/25/1988
04/29/1988
05/27/1988
06/24/1988
07/29/1988
08/26/1988
09/30/1988
10/28/1988
11/25/1988
12/30/1988
01/27/1989
02/24/1989
03/31/1989
04/28/1989
05/26/1989
06/30/1989
07/28/1989
08/25/1989
09/29/1989
10/27/1989
11/24/1989
12/29/1989
01/26/1990
02/23/1990
03/30/1990
04/27/1990
05/25/1990
06/29/1990
07/27/1990
08/31/1990
09/28/1990
10/26/1990
11/30/1990
12/28/1990
01/25/1991
02/22/1991
03/29/1991
04/26/1991
05/31/1991
06/28/1991
07/26/1991
08/30/1991
09/27/1991
10/25/1991
11/29/1991
12/27/1991
01/31/1992
02/28/1992
03/27/1992
04/24/1992
05/29/1992
06/26/1992
07/31/1992
08/28/1992
09/25/1992
10/30/1992
11/27/1992
12/25/1992
01/29/1993
02/26/1993
03/26/1993
04/30/1993
05/28/1993
06/25/1993
07/30/1993
08/27/1993
09/24/1993
10/29/1993
11/26/1993
12/31/1993
01/28/1994
02/25/1994
03/25/1994
04/29/1994
05/27/1994
06/24/1994
07/29/1994
08/26/1994
09/30/1994
10/28/1994
11/25/1994
12/30/1994
01/27/1995
02/24/1995
03/31/1995
04/28/1995
05/26/1995
06/30/1995
07/28/1995
08/25/1995
09/29/1995
10/27/1995
11/24/1995
12/29/1995
01/26/1996
02/23/1996
03/29/1996
04/26/1996
05/31/1996
06/28/1996
07/26/1996
08/30/1996
09/27/1996
10/25/1996
11/29/1996
12/27/1996
01/31/1997
02/28/1997
03/28/1997
04/25/1997
05/30/1997
06/27/1997
07/25/1997
08/29/1997
09/26/1997
10/31/1997
11/28/1997
12/26/1997
01/30/1998
02/27/1998
03/27/1998
04/24/1998
05/29/1998
06/26/1998
07/31/1998
08/28/1998
09/25/1998
10/30/1998
11/27/1998
12/25/1998
01/29/1999
02/26/1999
03/26/1999
04/30/1999
05/28/1999
06/25/1999
07/30/1999
08/27/1999
09/24/1999
10/29/1999
11/26/1999
12/31/1999
01/28/2000
02/25/2000
03/31/2000
04/28/2000
05/26/2000
06/30/2000
07/28/2000
08/25/2000
09/29/2000
10/27/2000
11/24/2000
12/29/2000
01/26/2001
02/23/2001
03/30/2001
04/27/2001
05/25/2001
06/29/2001
07/27/2001
08/31/2001
09/28/2001
10/26/2001
11/30/2001
12/28/2001
01/25/2002
02/22/2002
03/29/2002
04/26/2002
05/31/2002
06/28/2002
07/26/2002
08/30/2002
09/27/2002
10/25/2002
11/29/2002
12/27/2002
01/31/2003
02/28/2003
03/28/2003
04/25/2003
05/30/2003
06/27/2003
07/25/2003
08/29/2003
09/26/2003
10/31/2003
11/28/2003
12/26/2003
01/30/2004
02/27/2004
03/26/2004
04/30/2004
05/28/2004
06/25/2004
07/30/2004
08/27/2004
09/24/2004
10/29/2004
11/26/2004
12/31/2004
01/28/2005
02/25/2005
03/25/2005
04/29/2005
05/27/2005
06/24/2005
07/29/2005
08/26/2005
09/30/2005
10/28/2005
11/25/2005
12/30/2005
01/27/2006
02/24/2006
03/31/2006
04/28/2006
05/26/2006
06/30/2006
07/28/2006
08/25/2006
09/29/2006
10/27/2006
11/24/2006
12/29/2006
01/26/2007
02/23/2007
03/30/2007
04/27/2007
05/25/2007
06/29/2007
07/27/2007
08/31/2007
09/28/2007
10/26/2007
11/30/2007
12/28/2007
01/25/2008
02/29/2008
03/28/2008
04/25/2008
05/30/2008
06/27/2008
07/25/2008
08/29/2008
09/26/2008
10/31/2008
11/28/2008
12/26/2008
01/30/2009
02/27/2009
03/27/2009
04/24/2009
05/29/2009
06/26/2009
07/31/2009
08/28/2009
09/25/2009
10/30/2009
11/27/2009
12/25/2009
01/29/2010
02/26/2010
03/26/2010
04/30/2010
05/28/2010
06/25/2010
07/30/2010
08/27/2010
09/24/2010
10/29/2010
11/26/2010
12/31/2010
01/28/2011
02/25/2011
03/25/2011
04/29/2011
05/27/2011
06/24/2011
07/29/2011
08/26/2011
09/30/2011
10/28/2011
11/25/2011
12/30/2011
01/27/2012
02/24/2012
03/30/2012
04/27/2012
05/25/2012
06/29/2012
07/27/2012
08/31/2012
09/28/2012
10/26/2012
11/30/2012
12/28/2012
01/25/2013
02/22/2013
03/29/2013
04/26/2013
05/31/2013
06/28/2013
07/26/2013
08/30/2013
09/27/2013
10/25/2013
11/29/2013
12/27/2013
01/31/2014
02/28/2014
03/28/2014
04/25/2014
05/30/2014
06/27/2014
07/25/2014
08/29/2014
09/26/2014
10/31/2014
11/28/2014
12/26/2014
01/30/2015
02/27/2015
03/27/2015
04/24/2015
05/29/2015
06/26/2015
07/31/2015
08/28/2015
09/25/2015
10/30/2015
11/27/2015
12/25/2015
01/29/2016
02/26/2016
03/25/2016
04/29/2016
05/27/2016
06/24/2016
07/29/2016
08/26/2016
09/30/2016
10/28/2016
11/25/2016
12/30/2016
01/27/2017
02/24/2017
03/31/2017
04/28/2017
05/26/2017
06/30/2017
07/28/2017
08/25/2017
09/29/2017
10/27/2017
11/24/2017
12/29/2017
01/26/2018
02/23/2018
03/30/2018
04/27/2018
05/25/2018
06/29/2018
07/27/2018
08/31/2018
09/28/2018
10/26/2018
11/30/2018
12/28/2018
01/25/2019
02/22/2019
03/29/2019
04/26/2019
05/31/2019
06/28/2019
07/26/2019
08/30/2019
09/27/2019
10/25/2019
11/29/2019
12/27/2019
01/31/2020
02/28/2020
03/27/2020
04/24/2020
05/29/2020
06/26/2020
07/31/2020
