Date,Knicker,Name,Price
2015-11,211050,인카금융서비스,4825
2015-12,211050,인카금융서비스,7600
2016-01,211050,인카금융서비스,6350
2016-02,211050,인카금융서비스,5510
2016-03,211050,인카금융서비스,5200
2016-04,211050,인카금융서비스,5300
2016-05,211050,인카금융서비스,4900
2016-06,211050,인카금융서비스,4830
2016-07,211050,인카금융서비스,4780
2016-08,211050,인카금융서비스,5100
2016-09,211050,인카금융서비스,2980
2016-10,211050,인카금융서비스,2500
2016-11,211050,인카금융서비스,5160
2016-12,211050,인카금융서비스,4875
2017-01,211050,인카금융서비스,3605
2017-02,211050,인카금융서비스,3520
2017-03,211050,인카금융서비스,5710
2017-04,211050,인카금융서비스,3675
2017-05,211050,인카금융서비스,3300
2017-06,211050,인카금융서비스,4450
2017-07,211050,인카금융서비스,3180
2017-08,211050,인카금융서비스,5270
2017-09,211050,인카금융서비스,4000
2017-10,211050,인카금융서비스,3970
2017-11,211050,인카금융서비스,4595
2017-12,211050,인카금융서비스,3600
2018-01,211050,인카금융서비스,3700
2018-02,211050,인카금융서비스,4935
2018-03,211050,인카금융서비스,5140
2018-04,211050,인카금융서비스,8000
2018-05,211050,인카금융서비스,11550
2018-06,211050,인카금융서비스,8470
2018-07,211050,인카금융서비스,12100
2018-08,211050,인카금융서비스,13200
2018-09,211050,인카금융서비스,11950
2018-10,211050,인카금융서비스,5720
2018-11,211050,인카금융서비스,7290
2018-12,211050,인카금융서비스,6060
2019-01,211050,인카금융서비스,5920
2019-02,211050,인카금융서비스,6000
2019-03,211050,인카금융서비스,5230
2019-04,211050,인카금융서비스,6000
2019-05,211050,인카금융서비스,6870
2019-06,211050,인카금융서비스,6200
2019-07,211050,인카금융서비스,5430
2019-08,211050,인카금융서비스,5400
2019-09,211050,인카금융서비스,6050
2019-10,211050,인카금융서비스,5330
2019-11,211050,인카금융서비스,6650
2019-12,211050,인카금융서비스,5900
2020-01,211050,인카금융서비스,6260
2020-02,211050,인카금융서비스,5010
2020-03,211050,인카금융서비스,5280
2020-04,211050,인카금융서비스,4200
2020-05,211050,인카금융서비스,5760
2020-06,211050,인카금융서비스,6500
2020-07,211050,인카금융서비스,6450
2006-01,083640,인콘,636
2006-02,083640,인콘,624
2006-03,083640,인콘,514
2006-04,083640,인콘,556
2006-05,083640,인콘,456
2006-06,083640,인콘,356
2006-07,083640,인콘,314
2006-08,083640,인콘,340
2006-09,083640,인콘,356
2006-10,083640,인콘,430
2006-11,083640,인콘,468
2006-12,083640,인콘,394
2007-01,083640,인콘,390
2007-02,083640,인콘,422
2007-03,083640,인콘,458
2007-04,083640,인콘,452
2007-05,083640,인콘,464
2007-06,083640,인콘,496
2007-07,083640,인콘,508
2007-08,083640,인콘,538
2007-09,083640,인콘,582
2007-10,083640,인콘,548
2007-11,083640,인콘,474
2007-12,083640,인콘,532
2008-01,083640,인콘,496
2008-02,083640,인콘,444
2008-03,083640,인콘,420
2008-04,083640,인콘,422
2008-05,083640,인콘,452
2008-06,083640,인콘,378
2008-07,083640,인콘,354
2008-08,083640,인콘,292
2008-09,083640,인콘,274
2008-10,083640,인콘,306
2008-11,083640,인콘,302
2008-12,083640,인콘,366
2009-01,083640,인콘,354
2009-02,083640,인콘,340
2009-03,083640,인콘,394
2009-04,083640,인콘,454
2009-05,083640,인콘,426
2009-06,083640,인콘,406
2009-07,083640,인콘,402
2009-08,083640,인콘,406
2009-09,083640,인콘,420
2009-10,083640,인콘,406
2009-11,083640,인콘,408
2009-12,083640,인콘,406
2010-01,083640,인콘,380
2010-02,083640,인콘,404
2010-03,083640,인콘,384
2010-04,083640,인콘,448
2010-05,083640,인콘,340
2010-06,083640,인콘,330
2010-07,083640,인콘,416
2010-08,083640,인콘,388
2010-09,083640,인콘,358
2010-10,083640,인콘,352
2010-11,083640,인콘,322
2010-12,083640,인콘,452
